"id","gameType","teamName","dps","totalDamage","rotation","displayAvgDps","displayTotalDamageOrDpr","unresolvedWarnings","unmatchedCount","character1","character2","character3","character4"
"000b28bc-2eed-4248-be74-8b5e3df742ec","wuwa","Sigrika, Qiuyuan, Shorekeeper",,"2281240.677","27.5",,"2.28M","False","0","Sigrika","Qiuyuan","Shorekeeper",""
"0122bcb7-9d92-44c4-ad7d-e22b971252a6","genshin","Klee c1 Nicole Durin","118.6","2.49","21","118.6k","2.5k",,,"Klee (C1)","Fischl (C6)","Nicole (C0)","Durin (C0)"
"035d2085-e320-495a-8b62-b0f02a33d5a1","wuwa","Mornye, Augusta, Iuno",,"1774434.536","27.5",,"1.77M","False","0","Mornye","Augusta","Iuno",""
"0475ada5-ae80-4faf-82d3-131e756fd05a","wuwa","Qiuyuan, Galbrena, Shorekeeper",,"1831651.838","26.5",,"1.83M","False","0","Qiuyuan","Galbrena","Shorekeeper",""
"09e463f7-34ed-445f-88f5-d7f4ed6fb65e","wuwa","Lucy, Rebecca, Rover (Spectro)",,"1867171.931","27.5",,"1.87M","False","0","Lucy","Rebecca","Rover (Spectro)",""
"0b76b0d5-bc1b-4bf5-9612-2fbc305bf4fc","genshin","Kinich Durin","111.7","2.23","20","111.7k","2.2k",,,"Kinich (C0)","Durin (C0)","Emilie (C0)","Iansan (C6)"
"0cdccc88-2ea2-47cc-8560-da3f4fe57b90","genshin","Varka Venti Durin","110.3","1.95","18.2","110.3k","2.0k",,,"Varka (C0)","Venti (C0)","Durin (C0)","Bennett (C6)"
"0f096129-f757-4188-87c2-77548dd68e63","wuwa","Carlotta, Zhezhi, Shorekeeper",,"1457526.383","25.0",,"1.46M","False","0","Carlotta","Zhezhi","Shorekeeper",""
"0f90cc87-f56d-4354-97c0-d10f31161945","genshin","Navia Lunar Crytallize","122.4","2.45","20","122.4k","2.5k",,,"Navia","Columbina","Furina","Linnea"
"12a3c033-060a-4b33-887f-a38f97de3ade","wuwa","Hiyuki, Lynae, Chisa",,"2232653.862","27.5",,"2.23M","False","0","Hiyuki","Lynae","Chisa",""
"12c6f282-f983-4108-bbda-4549eb9767cd","wuwa","Iuno, Jianxin, Ciaccona",,"1435322.634","27.5",,"1.44M","False","0","Iuno","Jianxin","Ciaccona",""
"139b9150-4585-4350-af4f-159bfcf5f142","wuwa","Hiyuki, Chisa, Verina",,"1562757.024","27.5",,"1.56M","False","0","Hiyuki","Chisa","Verina",""
"139bec88-772b-4189-be8f-45b1c848b023","wuwa","Cartethyia, Ciaccona, Chisa",,"2153446.355","26.5",,"2.15M","False","0","Cartethyia","Ciaccona","Chisa",""
"14bb8f6f-669d-4164-80d6-dd3d10662d3f","wuwa","Aemeath, Denia, Lupa",,"2187934.118","27.5",,"2.19M","False","0","Aemeath","Denia","Lupa",""
"156f964b-e245-4bbf-9330-7fa163298ca4","genshin","Klee c1 Nicole","125.3","2.5","20","125.3k","2.5k",,,"Klee","Fischl","Chevreuse","Nicole"
"16d9a940-2642-4579-aa29-1ca2007e51dd","genshin","Varka R1 Premium","142.5","2.88","20.2","142.5k","2.9k",,,"Varka (C0)","Venti (C0)","Durin (C0)","Nicole (C0)"
"1914ccaa-4888-40ff-8bda-edc49584663f","wuwa","Mornye, Galbrena, Qiuyuan",,"1724500.532","27.5",,"1.72M","False","0","Mornye","Galbrena","Qiuyuan",""
"1a66e4cc-738c-40b8-8fdc-d92c393e342d","wuwa","Changli, Brant, Lupa",,"1556872.419","27.5",,"1.56M","False","0","Changli","Brant","Lupa",""
"1b5b13dd-b6e0-42b4-8c87-eb1de04cd78e","wuwa","Aemeath, Brant, Lupa",,"1770178.645","26.5",,"1.77M","False","0","Aemeath","Brant","Lupa",""
"1ddf54bc-7aa5-47c0-993e-bec915c14a16","wuwa","Hiyuki, Lynae, Mornye",,"2141203.574","27.5",,"2.14M","False","0","Hiyuki","Lynae","Mornye",""
"1f18b4d7-bd45-449d-bd3f-9064a9604727","genshin","Kinich Premium","122.4","2.33","19","122.4k","2.3k",,,"Kinich (C0)","Emilie (C0)","Nicole (C0)","Durin (C0)"
"1f2b7c89-3fa5-4ad9-87d2-adb55f76a217","wuwa","Qiuyuan, Phrolova, Lucilla",,"1786575.671","26.5",,"1.79M","False","0","Qiuyuan","Phrolova","Lucilla",""
"2117aa31-2a0a-4970-bd3a-2e24348e443d","wuwa","Qiuyuan, Phrolova, Shorekeeper",,"1585545.893","26.5",,"1.59M","False","0","Qiuyuan","Phrolova","Shorekeeper",""
"2555e13f-931c-4bc7-8f1b-41226da936cd","wuwa","Lupa, Denia, Mornye",,"1231876.765","27.5",,"1.23M","False","0","Lupa","Denia","Mornye",""
"26c01790-e6af-40d4-b39a-c54b398a838e","wuwa","Brant, Denia, Lupa",,"1831580.796","27.5",,"1.83M","False","0","Brant","Denia","Lupa",""
"276f2982-6e87-401d-b052-5b3b6f4474e1","wuwa","Sigrika, Qiuyuan, Iuno",,"1975032.133","27.5",,"1.98M","False","0","Sigrika","Qiuyuan","Iuno",""
"28144222-ef8c-45fd-9bd6-86ff39c15cba","wuwa","Phrolova, Lucilla, Cantarella",,"1748763.842","27.5",,"1.75M","False","0","Phrolova","Lucilla","Cantarella",""
"28876364-c27d-4094-8600-6c2d348b2476","wuwa","Iuno, Jiyan, Ciaccona",,"1596969.188","27.5",,"1.60M","False","0","Iuno","Jiyan","Ciaccona",""
"2c2fbe91-fee2-4abb-961e-d0db57ff0a2d","wuwa","Qiuyuan, Iuno, Shorekeeper",,"1384796.329","26.5",,"1.38M","False","0","Qiuyuan","Iuno","Shorekeeper",""
"2c934742-e13c-4408-9853-1b524b25da12","wuwa","Phoebe, Rover (Spectro), Chisa",,"1520480.476","26.5",,"1.52M","False","0","Phoebe","Rover (Spectro)","Chisa",""
"2e42d8d8-f08b-4804-bc72-6896c6840790","wuwa","Lynae, Augusta, Iuno",,"1924445.437","25.0",,"1.92M","False","0","Lynae","Augusta","Iuno",""
"2fd0cf9b-70e1-410d-a132-eaac157989d3","wuwa","Phrolova, Cantarella, Shorekeeper",,"1691992.711","27.5",,"1.69M","False","0","Phrolova","Cantarella","Shorekeeper",""
"3209d27c-97cc-4c8a-8cf7-dc412dc95b35","wuwa","Xuanling, Lynae, Suisui",,"2028940.646","27.5",,"2.03M","False","0","Xuanling","Lynae","Suisui",""
